SSTID CF Level size Creation Deletion key_start key_end
152 0 1 134524876 1681270762 1681270762 22949038 25697679
153 0 1 134525756 1681270763 1681270768 25697781 28459942
154 0 1 74447182 1681270764 1681270768 28459977 29999865
140 0 2 134522486 1681270760 1681270815 14657223 17396608
149 0 2 134526757 1681270761 1681270799 17396779 20185543
151 0 2 134526886 1681270762 1681270834 20185584 22948931
152 0 2 134524876 1681270762 1681270851 22949038 25697679
156 0 0 36726592 1681270764 1681270769 5615 29999842
159 0 0 36732317 1681270764 1681270769 1346 29993599
162 0 0 36732315 1681270765 1681270769 1854 29999255
165 0 0 36732227 1681270765 1681270770 5553 29995198
167 0 0 36732213 1681270765 1681270770 1114 29998813
170 0 0 36732140 1681270765 1681270771 3486 29996708
172 0 0 36726626 1681270765 1681270771 683 29999316
175 0 0 36732125 1681270765 1681270771 2877 29998899
178 0 0 36732281 1681270766 1681270772 7038 29996314
180 0 0 36715117 1681270766 1681270772 1406 29995089
157 0 1 46826262 1681270764 1681270773 283 1838139
160 0 1 46034488 1681270765 1681270773 1839208 3643835
164 0 1 47636800 1681270765 1681270773 3644172 5485572
168 0 1 47523015 1681270765 1681270773 5486181 7341316
173 0 1 46900962 1681270765 1681270773 7341630 9173100
177 0 1 46821514 1681270766 1681270773 9173553 10998052
181 0 1 46249903 1681270766 1681270773 10998094 12839882
182 0 1 45964440 1681270766 1681270773 12839940 14656800
183 0 1 75429889 1681270766 1681270773 14657569 20184777
184 0 1 74065272 1681270767 1681270773 20186049 25697647
185 0 1 134523865 1681270767 1681270767 25697781 27857168
186 0 1 132464359 1681270768 1681270768 27857176 29999865
185 0 2 134523865 1681270767 1681270853 25697781 27857168
186 0 2 132464359 1681270768 1681270832 27857176 29999865
189 0 0 36720770 1681270769 1681270775 5747 29993522
191 0 0 36726344 1681270769 1681270775 2703 29996200
194 0 0 36732224 1681270769 1681270776 3218 29979888
196 0 0 36726512 1681270769 1681270776 1179 29998384
198 0 0 36732155 1681270769 1681270777 1105 29999637
201 0 0 36726446 1681270770 1681270778 320 29999112
203 0 0 36732232 1681270770 1681270778 2900 29995279
206 0 0 36732329 1681270770 1681270779 4963 29989350
208 0 0 36726556 1681270770 1681270779 141 29978466
211 0 0 36732124 1681270770 1681270780 5957 29993364
213 0 0 36732338 1681270770 1681270781 2193 29998906
